"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "XML", "comment", "blank", "total"
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/sheetsAddOn/sidebar-javascript.html", "HTML", 0, 0, 0, 128, 0, 0, 57, 185
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/sheetsAddOn/sidebar-stylesheet.html", "HTML", 0, 0, 0, 216, 0, 0, 48, 264
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/sheetsAddOn/sidebar.html", "HTML", 0, 0, 0, 219, 0, 14, 29, 262
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/sheetsAddOn/signin-failure.html", "HTML", 0, 0, 0, 279, 0, 2, 54, 335
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/sheetsAddOn/signin-success.html", "HTML", 0, 0, 0, 278, 0, 2, 54, 334
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/sheetsAddOn/spreadsheetFunctions.js", "JavaScript", 0, 202, 0, 0, 0, 65, 90, 357
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/syncSettings.js", "JavaScript", 0, 141, 0, 0, 0, 7, 53, 201
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/updateScripts.js", "JavaScript", 0, 51, 0, 0, 0, 5, 22, 78
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/userProperties.js", "JavaScript", 0, 483, 0, 0, 0, 95, 54, 632
"Total", "-", 57, 2370, 67, 1360, 34, 518, 1092, 5498
